date,nav
2024-01-02,75.191
2024-01-03,74.0056
2024-01-04,74.6678
2024-01-05,75.7176
2024-01-08,75.9299
2024-01-09,76.5604
2024-01-10,76.9246
2024-01-11,76.8659
2024-01-12,77.063
2024-01-15,77.4828
2024-01-16,77.784
2024-01-17,78.1186
2024-01-18,78.2428
2024-01-19,77.9791
2024-01-22,78.1523
2024-01-23,76.7928
2024-01-24,78.3278
2024-01-25,78.6248
2024-01-26,78.9351
2024-01-29,78.617
2024-01-30,78.6774
2024-01-31,79.2642
2024-02-01,79.036
2024-02-02,79.4497
2024-02-05,78.7614
2024-02-06,78.3388
2024-02-07,79.0067
2024-02-08,78.5638
2024-02-09,78.2454
2024-02-12,78.0941
2024-02-13,77.9654
2024-02-14,77.0672
2024-02-15,76.7427
2024-02-16,76.2267
2024-02-19,75.9048
2024-02-20,75.8242
2024-02-21,75.5787
2024-02-22,75.2049
2024-02-23,74.6764
2024-02-26,74.3351
2024-02-27,74.829
2024-02-28,74.6325
2024-02-29,75.1848
2024-03-01,74.7377
2024-03-04,75.3182
2024-03-05,75.4736
2024-03-06,75.2808
2024-03-07,74.4146
2024-03-08,75.3467
2024-03-11,75.7572
2024-03-12,76.2156
2024-03-13,76.5931
2024-03-14,76.7967
2024-03-15,76.8272
2024-03-18,76.5734
2024-03-19,76.6183
2024-03-20,77.2101
2024-03-21,76.8305
2024-03-22,76.6282
2024-03-25,74.9153
2024-03-26,76.0867
2024-03-27,75.3874
2024-03-28,76.5044
2024-03-29,74.7275
2024-04-01,76.6815
2024-04-02,77.4705
2024-04-03,76.7458
2024-04-04,73.4141
2024-04-05,74.8758
2024-04-08,73.0655
2024-04-09,73.6091
2024-04-10,71.1335
2024-04-11,68.6328
2024-04-12,68.3396
2024-04-15,67.3786
2024-04-16,68.9346
2024-04-17,69.4659
2024-04-18,68.5551
2024-04-19,68.1264
2024-04-22,67.2157
2024-04-23,67.8614
2024-04-24,68.3844
2024-04-25,69.3794
2024-04-26,69.3097
2024-04-29,69.229
2024-04-30,70.0447
2024-05-01,70.6226
2024-05-02,70.3004
2024-05-03,70.19
2024-05-06,69.0758
2024-05-07,69.818
2024-05-08,69.8109
2024-05-09,69.866
2024-05-10,69.7895
2024-05-13,68.8528
2024-05-14,69.8662
2024-05-15,68.9862
2024-05-16,69.9116
2024-05-17,70.9495
2024-05-20,70.3721
2024-05-21,70.0026
2024-05-22,69.8949
2024-05-23,71.1705
2024-05-24,70.4301
2024-05-27,70.9297
2024-05-28,70.7436
2024-05-29,70.6621
2024-05-30,71.1175
2024-05-31,71.5958
2024-06-03,71.869
2024-06-04,73.0275
2024-06-05,72.8383
2024-06-06,73.1221
2024-06-07,72.629
2024-06-10,72.2817
2024-06-11,72.1559
2024-06-12,71.889
2024-06-13,71.2795
2024-06-14,72.333
2024-06-17,72.4616
2024-06-18,72.3501
2024-06-19,71.5554
2024-06-20,71.7555
2024-06-21,71.1458
2024-06-24,71.0507
2024-06-25,71.1995
2024-06-26,72.3578
2024-06-27,72.5546
2024-06-28,72.46
2024-07-01,71.6386
