date,nav
2024-01-02,77.0893
2024-01-03,76.7534
2024-01-04,76.5851
2024-01-05,76.6164
2024-01-08,76.4218
2024-01-09,76.4217
2024-01-10,76.934
2024-01-11,76.8985
2024-01-12,77.3243
2024-01-15,76.581
2024-01-16,77.8523
2024-01-17,77.4029
2024-01-18,77.1287
2024-01-19,77.4388
2024-01-22,77.0309
2024-01-23,77.0421
2024-01-24,76.7692
2024-01-25,77.063
2024-01-26,77.3718
2024-01-29,77.3534
2024-01-30,77.3472
2024-01-31,77.3615
2024-02-01,78.1788
2024-02-02,79.1691
2024-02-05,78.5533
2024-02-06,78.28
2024-02-07,78.7139
2024-02-08,78.9423
2024-02-09,78.6547
2024-02-12,78.2663
2024-02-13,79.3807
2024-02-14,78.598
2024-02-15,79.3773
2024-02-16,79.6548
2024-02-19,80.0391
2024-02-20,79.769
2024-02-21,79.3525
2024-02-22,79.0432
2024-02-23,78.902
2024-02-26,78.6434
2024-02-27,78.5418
2024-02-28,78.7281
2024-02-29,78.9764
2024-03-01,78.0925
2024-03-04,77.5698
2024-03-05,77.3486
2024-03-06,78.3365
2024-03-07,78.3085
2024-03-08,78.3683
2024-03-11,78.5709
2024-03-12,78.2126
2024-03-13,77.2567
2024-03-14,77.1336
2024-03-15,76.4277
2024-03-18,76.7158
2024-03-19,77.6134
2024-03-20,77.6493
2024-03-21,77.2933
2024-03-22,77.4517
2024-03-25,77.4473
2024-03-26,78.9118
2024-03-27,80.8473
2024-03-28,79.9761
2024-03-29,80.0302
2024-04-01,80.6273
2024-04-02,82.7357
2024-04-03,81.948
2024-04-04,79.454
2024-04-05,75.91
2024-04-08,75.8157
2024-04-09,76.13
2024-04-10,77.0996
2024-04-11,77.2428
2024-04-12,77.0304
2024-04-15,75.2093
2024-04-16,74.6773
2024-04-17,75.9761
2024-04-18,75.8117
2024-04-19,78.719
2024-04-22,76.6581
2024-04-23,76.1092
2024-04-24,75.7215
2024-04-25,75.1139
2024-04-26,75.2078
2024-04-29,75.1903
2024-04-30,75.6275
2024-05-01,75.7113
2024-05-02,76.3083
2024-05-03,75.6787
2024-05-06,75.4419
2024-05-07,75.7548
2024-05-08,75.8177
2024-05-09,75.229
2024-05-10,75.2956
2024-05-13,75.6094
2024-05-14,76.4612
2024-05-15,77.1054
2024-05-16,76.6648
2024-05-17,75.8076
2024-05-20,75.0433
2024-05-21,75.5241
2024-05-22,75.947
2024-05-23,76.5055
2024-05-24,75.8195
2024-05-27,75.8673
2024-05-28,76.6674
2024-05-29,76.443
2024-05-30,76.3144
2024-05-31,75.8048
2024-06-03,76.3539
2024-06-04,76.3104
2024-06-05,76.3338
2024-06-06,77.0705
2024-06-07,76.2201
2024-06-10,76.5431
2024-06-11,76.3881
2024-06-12,75.7784
2024-06-13,76.041
2024-06-14,75.9527
2024-06-17,76.3961
2024-06-18,76.113
2024-06-19,76.1435
2024-06-20,75.65
2024-06-21,74.372
2024-06-24,75.1692
2024-06-25,75.539
2024-06-26,76.1424
2024-06-27,75.3669
2024-06-28,74.8106
2024-07-01,73.9903
