date,nav
2024-01-02,108.6561
2024-01-03,108.3764
2024-01-04,108.4594
2024-01-05,107.7897
2024-01-08,106.8999
2024-01-09,107.3589
2024-01-10,107.789
2024-01-11,108.5855
2024-01-12,108.986
2024-01-15,109.3288
2024-01-16,108.9963
2024-01-17,109.2779
2024-01-18,109.4759
2024-01-19,109.5062
2024-01-22,110.1197
2024-01-23,110.7921
2024-01-24,110.6591
2024-01-25,112.4832
2024-01-26,112.9582
2024-01-29,112.7101
2024-01-30,113.0365
2024-01-31,113.3215
2024-02-01,112.4821
2024-02-02,112.1575
2024-02-05,111.8088
2024-02-06,111.3908
2024-02-07,110.9846
2024-02-08,111.3709
2024-02-09,111.615
2024-02-12,111.4252
2024-02-13,111.3908
2024-02-14,112.1486
2024-02-15,112.0138
2024-02-16,112.175
2024-02-19,111.9678
2024-02-20,112.1576
2024-02-21,113.0647
2024-02-22,113.5704
2024-02-23,114.5775
2024-02-26,114.6446
2024-02-27,115.3313
2024-02-28,115.5851
2024-02-29,116.0909
2024-03-01,116.6257
2024-03-04,116.4747
2024-03-05,116.2229
2024-03-06,116.421
2024-03-07,115.6969
2024-03-08,115.4588
2024-03-11,115.1573
2024-03-12,115.4066
2024-03-13,115.5855
2024-03-14,116.8682
2024-03-15,116.7537
2024-03-18,116.0673
2024-03-19,115.1678
2024-03-20,115.3368
2024-03-21,115.028
2024-03-22,114.5822
2024-03-25,114.2277
2024-03-26,116.9206
2024-03-27,116.8168
2024-03-28,116.9331
2024-03-29,117.1973
2024-04-01,116.0541
2024-04-02,117.0563
2024-04-03,115.6878
2024-04-04,113.5338
2024-04-05,115.3681
2024-04-08,112.423
2024-04-09,111.8546
2024-04-10,108.9282
2024-04-11,108.9951
2024-04-12,110.8799
2024-04-15,110.4664
2024-04-16,108.9846
2024-04-17,108.1643
2024-04-18,107.6028
2024-04-19,105.8277
2024-04-22,107.6695
2024-04-23,107.7501
2024-04-24,107.6667
2024-04-25,107.2644
2024-04-26,106.6988
2024-04-29,106.2468
2024-04-30,107.2844
2024-05-01,106.8657
2024-05-02,107.8525
2024-05-03,108.1024
2024-05-06,108.3291
2024-05-07,108.0312
2024-05-08,108.1639
2024-05-09,108.5966
2024-05-10,108.548
2024-05-13,108.6393
2024-05-14,108.4377
2024-05-15,108.7983
2024-05-16,108.141
2024-05-17,108.9005
2024-05-20,108.9563
2024-05-21,109.376
2024-05-22,108.3353
2024-05-23,108.0943
