date,nav
2024-01-02,464.4672
2024-01-03,466.8379
2024-01-04,467.4126
2024-01-05,463.7755
2024-01-08,459.7174
2024-01-09,455.7456
2024-01-10,449.6108
2024-01-11,447.2363
2024-01-12,441.2458
2024-01-15,438.5697
2024-01-16,437.4072
2024-01-17,436.3747
2024-01-18,439.1862
2024-01-19,439.3675
2024-01-22,435.4369
2024-01-23,430.1824
2024-01-24,429.8896
2024-01-25,427.0513
2024-01-26,431.2809
2024-01-29,428.3594
2024-01-30,426.6577
2024-01-31,420.8519
2024-02-01,419.8029
2024-02-02,414.7092
2024-02-05,412.5064
2024-02-06,409.3585
2024-02-07,407.2122
2024-02-08,404.9499
2024-02-09,402.9644
2024-02-12,406.7372
2024-02-13,407.3309
2024-02-14,411.3224
2024-02-15,409.8393
2024-02-16,407.6717
2024-02-19,405.0196
2024-02-20,403.9614
2024-02-21,406.6555
2024-02-22,406.5797
2024-02-23,407.6147
2024-02-26,407.7012
2024-02-27,405.4718
2024-02-28,407.9105
2024-02-29,405.8743
2024-03-01,409.0851
2024-03-04,410.4951
2024-03-05,414.0651
2024-03-06,410.2237
2024-03-07,410.154
2024-03-08,406.0768
2024-03-11,407.6975
2024-03-12,405.3153
2024-03-13,404.4589
2024-03-14,406.8178
2024-03-15,406.8382
2024-03-18,411.9026
2024-03-19,412.1363
2024-03-20,412.3602
2024-03-21,414.3997
2024-03-22,413.1374
2024-03-25,412.1213
2024-03-26,414.7604
2024-03-27,419.3362
2024-03-28,416.7255
2024-03-29,410.2395
2024-04-01,420.0225
2024-04-02,415.0008
2024-04-03,420.7058
2024-04-04,417.7941
2024-04-05,424.5276
2024-04-08,420.2445
2024-04-09,414.3386
2024-04-10,424.2372
2024-04-11,418.4491
2024-04-12,426.068
2024-04-15,428.4528
2024-04-16,407.208
2024-04-17,398.1366
2024-04-18,401.3217
2024-04-19,402.1279
2024-04-22,412.5017
2024-04-23,412.549
2024-04-24,409.0688
2024-04-25,411.6112
2024-04-26,407.3269
2024-04-29,408.5115
2024-04-30,410.7446
2024-05-01,414.8021
2024-05-02,409.8962
2024-05-03,411.4767
2024-05-06,412.729
2024-05-07,410.5297
2024-05-08,410.1292
2024-05-09,415.9512
2024-05-10,421.199
2024-05-13,425.727
2024-05-14,422.3325
2024-05-15,426.1729
2024-05-16,423.998
2024-05-17,427.6841
2024-05-20,424.4886
2024-05-21,424.6682
2024-05-22,422.2518
2024-05-23,424.5748
2024-05-24,432.1246
2024-05-27,436.2337
2024-05-28,439.7856
2024-05-29,439.7083
2024-05-30,439.6834
2024-05-31,440.6961
2024-06-03,442.7339
2024-06-04,443.7738
2024-06-05,444.7214
2024-06-06,447.7932
2024-06-07,449.9104
2024-06-10,455.3339
2024-06-11,454.7736
2024-06-12,445.8556
2024-06-13,446.9769
2024-06-14,449.9002
2024-06-17,452.6509
2024-06-18,451.7
2024-06-19,448.9555
2024-06-20,450.878
2024-06-21,454.0566
2024-06-24,455.4808
2024-06-25,457.4325
2024-06-26,459.9881
2024-06-27,459.4297
2024-06-28,455.8234
2024-07-01,453.4103
