date,nav
2024-01-02,93.8311
2024-01-03,94.5729
2024-01-04,93.3199
2024-01-05,93.6014
2024-01-08,93.2748
2024-01-09,93.0456
2024-01-10,92.0871
2024-01-11,91.9716
2024-01-12,92.0242
2024-01-15,92.2694
2024-01-16,92.0366
2024-01-17,91.5145
2024-01-18,90.8917
2024-01-19,91.0967
2024-01-22,88.7738
2024-01-23,89.1989
2024-01-24,88.5713
2024-01-25,87.6545
2024-01-26,88.5383
2024-01-29,89.9571
2024-01-30,90.8
2024-01-31,90.6799
2024-02-01,91.4629
2024-02-02,92.101
2024-02-05,91.3546
2024-02-06,90.7111
2024-02-07,88.4807
2024-02-08,89.241
2024-02-09,88.3931
2024-02-12,88.5781
2024-02-13,88.536
2024-02-14,89.0587
2024-02-15,88.9534
2024-02-16,87.3785
2024-02-19,86.8723
2024-02-20,86.6741
2024-02-21,86.209
2024-02-22,85.588
2024-02-23,86.3295
2024-02-26,86.857
2024-02-27,87.1638
2024-02-28,87.4926
2024-02-29,87.3278
2024-03-01,86.6446
2024-03-04,87.7187
2024-03-05,87.9007
2024-03-06,88.3388
2024-03-07,88.9786
2024-03-08,88.2778
2024-03-11,89.3786
2024-03-12,88.6934
2024-03-13,88.8932
2024-03-14,87.8529
2024-03-15,87.9157
2024-03-18,87.3638
2024-03-19,88.5518
2024-03-20,89.0696
2024-03-21,90.7513
2024-03-22,91.1482
2024-03-25,91.7237
2024-03-26,93.974
2024-03-27,92.0808
2024-03-28,92.39
2024-03-29,94.9622
2024-04-01,89.1323
2024-04-02,91.691
2024-04-03,94.0868
2024-04-04,93.8543
2024-04-05,94.8459
2024-04-08,95.8383
2024-04-09,91.3212
2024-04-10,88.8102
2024-04-11,87.0104
2024-04-12,90.4492
2024-04-15,91.809
2024-04-16,91.8437
2024-04-17,90.5573
2024-04-18,94.6651
2024-04-19,92.3442
2024-04-22,91.0008
2024-04-23,92.1222
2024-04-24,93.4577
2024-04-25,91.9574
2024-04-26,92.4003
2024-04-29,91.7545
2024-04-30,92.3839
2024-05-01,90.9374
2024-05-02,90.9854
2024-05-03,90.7213
2024-05-06,90.5527
2024-05-07,91.6258
2024-05-08,92.0523
2024-05-09,92.7041
2024-05-10,93.4513
2024-05-13,93.1389
2024-05-14,92.2427
2024-05-15,92.6061
2024-05-16,90.3188
2024-05-17,88.9758
2024-05-20,87.6107
2024-05-21,87.4902
2024-05-22,87.2532
