date,open,high,low,close,volume
2024-01-02,75.2622,76.3895,74.0648,75.191,15604224
2024-01-03,73.6352,74.571,73.132,74.0649,17493372
2024-01-04,74.5898,75.8959,73.5482,74.8507,18520944
2024-01-05,75.9219,76.3793,75.3579,75.8147,14480374
2024-01-08,75.6862,76.1837,75.4847,75.9814,13456428
2024-01-09,76.2514,76.5815,76.2244,76.5545,15933511
2024-01-10,77.1341,77.6296,76.309,76.8024,18712101
2024-01-11,77.1598,77.5085,76.4452,76.7923,28912194
2024-01-12,77.1734,77.3391,76.8447,77.0101,13601848
2024-01-15,77.3782,77.6443,77.1759,77.4417,20240808
2024-01-16,77.7722,78.2813,77.1793,77.6878,36221492
2024-01-17,78.2884,79.6669,76.7727,78.1487,28214199
2024-01-18,78.6129,78.7388,78.1841,78.3096,22717505
2024-01-19,77.8437,78.5973,77.2909,78.0431,14360748
2024-01-22,77.7385,78.5344,77.4444,78.2384,17571125
2024-01-23,76.5952,77.9355,75.4927,76.8296,27434016
2024-01-24,78.8334,78.8664,78.3602,78.393,15482238
2024-01-25,78.7711,78.9357,78.5466,78.7111,18560246
2024-01-26,78.5117,79.137,78.3727,78.9971,15134314
2024-01-29,78.6062,78.7726,78.3859,78.5521,13839141
2024-01-30,79.3112,79.8194,78.143,78.647,10105125
2024-01-31,79.385,80.2645,78.3744,79.2525,20005405
2024-02-01,79.1519,80.1876,77.9512,78.9847,16189471
2024-02-02,80.0403,80.2817,79.1157,79.355,20817787
2024-02-05,79.048,79.9032,77.8949,78.7468,25276160
2024-02-06,78.0808,78.526,77.8962,78.3408,20906610
2024-02-07,79.0696,79.1399,78.8994,78.9696,17544353
2024-02-08,78.1394,78.8093,77.8431,78.5116,12780304
2024-02-09,78.1818,78.7715,77.7141,78.3031,17671779
2024-02-12,78.067,78.3471,77.7959,78.0759,19896230
2024-02-13,77.9079,78.8328,77.1527,78.0761,18869307
2024-02-14,77.7284,78.4714,76.4456,77.1834,11607029
2024-02-15,76.5779,78.0332,75.2979,76.7502,13437608
2024-02-16,75.619,76.4675,75.2799,76.1262,17800021
2024-02-19,75.911,76.1094,75.6144,75.8125,25597712
2024-02-20,75.0896,76.0013,74.7831,75.6923,15738817
2024-02-21,75.3525,76.0771,74.6887,75.4128,27252781
2024-02-22,75.0491,75.4623,74.7181,75.1309,12233815
2024-02-23,74.4339,74.9373,74.1167,74.6193,18008275
2024-02-26,74.303,74.6097,74.0714,74.3779,19040647
2024-02-27,75.1798,75.1981,74.7787,74.7969,22440659
2024-02-28,74.6601,75.0678,74.2691,74.6767,19952940
2024-02-29,74.592,75.5509,74.2584,75.2146,16748855
2024-03-01,75.0022,75.1562,74.6521,74.8057,24297684
2024-03-04,75.7483,76.7524,74.2207,75.2177,12781031
2024-03-05,75.201,75.8829,74.6595,75.3403,11787034
2024-03-06,75.1788,75.725,74.5655,75.1112,26816185
2024-03-07,74.6094,74.6929,74.2368,74.32,13613219
2024-03-08,75.6571,76.1279,74.8181,75.2865,13928556
2024-03-11,75.3388,76.4984,74.4611,75.6176,18557020
2024-03-12,75.559,76.4411,75.2525,76.1323,11246676
2024-03-13,77.3006,77.9022,75.9384,76.534,20598678
2024-03-14,76.4878,77.3693,75.8593,76.7388,12823443
