date,open,high,low,close,volume
2024-01-02,108.9891,109.7256,108.4832,109.2186,28654531
2024-01-03,110.8203,111.0234,110.7948,110.9978,42357690
2024-01-04,110.5634,111.0187,110.549,111.0043,16361249
2024-01-05,112.4244,113.9068,110.0978,111.5689,51428478
2024-01-08,112.2297,112.2572,112.0568,112.0843,23298428
2024-01-09,112.0362,112.8768,111.3991,112.2385,30491739
2024-01-10,113.045,113.8328,111.9955,112.7815,28100472
2024-01-11,112.7302,113.7173,111.9885,112.974,22571721
2024-01-12,113.5061,114.555,112.2664,113.3136,23510790
2024-01-15,113.5008,113.8766,113.098,113.4737,20063145
2024-01-16,114.887,115.0926,114.7677,114.9732,60605529
2024-01-17,114.78,115.1316,114.5825,114.9338,18879663
2024-01-18,114.4145,114.5352,113.9396,114.0599,31111857
2024-01-19,113.4629,114.052,112.8464,113.4354,44125698
2024-01-22,113.6303,114.0783,113.1279,113.5756,22601452
2024-01-23,114.0611,114.7257,113.6211,114.2849,30354854
2024-01-24,115.8387,116.6918,114.3601,115.2085,16271358
2024-01-25,115.7736,115.7928,115.546,115.5651,32155702
2024-01-26,115.7278,116.1434,115.0635,115.4782,37385242
2024-01-29,115.5915,117.3029,114.0456,115.7549,21802954
2024-01-30,116.677,117.3903,115.8699,116.5827,17208868
2024-01-31,115.9708,116.6737,115.4806,116.1826,18493478
2024-02-01,115.3306,116.4413,114.3627,115.4722,16597624
2024-02-02,114.8748,114.9009,114.8449,114.8711,43806393
2024-02-05,115.1132,115.1654,114.9104,114.9625,24104191
2024-02-06,115.5988,116.3935,114.8626,115.6569,30330190
2024-02-07,115.3276,115.9773,114.9465,115.5953,27193299
2024-02-08,116.3302,116.4492,115.4154,115.5336,22477320
2024-02-09,114.8719,115.94,113.702,114.7691,29972209
2024-02-12,115.8859,116.3154,115.6277,116.0569,21521226
2024-02-13,116.3742,117.1531,115.6559,116.4344,18384885
2024-02-14,116.2838,116.5539,115.9697,116.2398,34818851
2024-02-15,116.0058,116.2754,115.5655,115.8347,30711526
2024-02-16,115.1532,116.1452,114.3919,115.3824,20295599
2024-02-19,115.8522,116.0648,115.5264,115.7389,40578809
2024-02-20,115.6472,116.0834,115.2284,115.6645,28461118
2024-02-21,115.6141,116.0586,115.0476,115.4916,46970667
2024-02-22,115.3764,115.8486,114.8055,115.2773,28251149
2024-02-23,115.4834,115.5938,115.0725,115.1825,15130138
2024-02-26,114.2953,114.4216,113.565,113.6907,32781433
2024-02-27,113.8764,114.7222,112.7899,113.6339,22014941
2024-02-28,113.9614,114.5675,113.1066,113.7114,40187304
2024-02-29,113.1969,113.6898,112.7293,113.2221,28935623
2024-03-01,113.717,113.8482,113.5152,113.6464,20964012
2024-03-04,113.6209,114.3655,112.6632,113.4064,34034828
2024-03-05,113.6039,114.2004,112.8716,113.4674,28868719
2024-03-06,113.6893,114.3523,112.6185,113.2791,24432931
2024-03-07,113.4113,113.6038,113.3012,113.4936,28809908
2024-03-08,114.0316,114.9318,112.9627,113.8615,27713900
2024-03-11,113.2045,113.6633,112.7588,113.2175,24777603
2024-03-12,114.2166,114.5907,113.7337,114.1074,17433724
2024-03-13,113.6183,113.813,113.2418,113.4362,30129389
2024-03-14,112.9736,113.5143,112.5087,113.0492,14324271
2024-03-15,113.4744,114.1954,113.0909,113.8108,38187297
2024-03-18,113.2555,113.7524,112.8604,113.3569,23620652
2024-03-19,115.1058,115.2799,114.8316,115.0056,33473808
2024-03-20,114.0477,115.1743,113.5152,114.639,21961733
2024-03-21,114.808,115.526,113.8504,114.5669,21723565
2024-03-22,114.8401,115.4136,114.5997,115.1726,21713831
2024-03-25,114.6627,115.1045,114.0302,114.4713,21995308
2024-03-26,118.549,118.8319,116.6704,116.9495,87937975
2024-03-27,115.4208,118.1308,112.9997,115.7038,46739040
2024-03-28,113.3589,116.2576,109.9335,112.8185,36810820
2024-03-29,112.6285,114.8297,111.2607,113.4518,56604996
2024-04-01,114.1673,116.2984,111.6897,113.8143,78065625
2024-04-02,111.616,112.6462,111.5456,112.5751,66160722
2024-04-03,117.1659,118.1231,115.6948,116.6477,87309481
2024-04-04,116.4153,117.1133,115.7042,116.4021,65281321
2024-04-05,117.8784,119.2336,115.005,116.3425,48382379
2024-04-08,118.0503,119.0498,116.352,117.3455,37764897
