date,open,high,low,close,volume
2024-01-02,462.0802,464.9143,461.6354,464.4672,63407662
2024-01-03,468.7299,469.5432,465.8378,466.6475,49749722
2024-01-04,467.6048,469.3981,465.652,467.4447,98197825
2024-01-05,464.5034,472.7042,455.6219,463.8104,87583478
2024-01-08,459.7588,462.448,457.107,459.7961,80966820
2024-01-09,456.4865,461.2648,451.0263,455.7973,99538997
2024-01-10,450.52,451.6735,448.5491,449.7005,68600372
2024-01-11,448.3864,449.9708,445.7827,447.3634,74364350
2024-01-12,439.7294,447.5627,433.6039,441.4137,87442339
2024-01-15,438.7621,440.6221,436.6946,438.5537,64029860
2024-01-16,435.9859,439.2668,434.1376,437.4125,145618649
2024-01-17,436.6907,438.3672,434.5905,436.2654,75756530
2024-01-18,440.4464,446.2186,433.3881,439.1432,62831521
2024-01-19,439.2962,441.661,437.0769,439.4409,70340655
2024-01-22,437.1323,439.4858,433.1317,435.4764,130538359
2024-01-23,432.1402,437.2711,425.2301,430.3396,81149381
2024-01-24,429.2458,430.9165,428.4731,430.1423,85894041
2024-01-25,425.9608,427.4558,425.6622,427.1564,75325045
2024-01-26,431.8557,432.2222,430.8933,431.2594,74443753
2024-01-29,428.5582,429.1308,427.8192,428.3915,99484490
2024-01-30,428.0703,430.6773,424.0946,426.6932,116620084
2024-01-31,419.5531,424.3192,416.2295,420.9842,124849421
2024-02-01,417.3997,420.1285,417.0552,419.782,72200569
2024-02-02,416.0186,416.7497,413.7796,414.508,55367800
2024-02-05,410.3486,417.3514,405.508,412.4856,86699165
2024-02-06,406.6574,414.341,401.5238,409.1757,77615322
2024-02-07,406.0396,409.6869,403.2446,406.886,70317877
2024-02-08,403.4576,404.7578,403.3561,404.656,65270102
2024-02-09,404.1152,407.8906,398.903,402.6649,90032112
2024-02-12,407.5611,409.6333,404.5744,406.6419,111246348
2024-02-13,405.2844,414.2483,398.4082,407.3372,110741420
2024-02-14,409.689,414.7161,406.1479,411.1623,45304992
2024-02-15,409.0117,409.6674,408.9555,409.6111,68682046
2024-02-16,408.0847,409.1774,406.3744,407.4654,73194980
2024-02-19,403.7442,408.0862,400.5922,404.925,91917257
2024-02-20,405.3589,405.3847,403.7762,403.8019,59284365
2024-02-21,407.3934,407.8641,406.1975,406.6675,92951285
2024-02-22,405.2441,409.7893,402.1112,406.6457,92478835
2024-02-23,406.0788,408.113,405.5173,407.5495,88948383
2024-02-26,408.2282,408.7417,407.0261,407.5388,80666094
2024-02-27,405.6925,406.0574,405.0486,405.4132,95602380
2024-02-28,410.3643,414.2129,404.0661,407.8915,93142920
2024-02-29,404.8414,406.8951,404.0052,406.0564,74605572
2024-03-01,411.6552,412.0035,408.7703,409.1164,125575792
2024-03-04,413.3662,415.4915,408.6076,410.7193,62618518
2024-03-05,418.372,419.919,412.9028,414.4352,62483360
2024-03-06,410.6216,411.3707,410.0409,410.7897,77011304
2024-03-07,411.968,413.1036,409.4052,410.5368,64739834
2024-03-08,405.4445,407.6354,404.2665,406.4545,118901010
2024-03-11,405.8879,412.4024,401.3902,407.8825,91838057
2024-03-12,404.32,410.7538,398.8659,405.2867,104247262
2024-03-13,405.16,407.7166,401.8108,404.3624,105797644
2024-03-14,406.3411,407.3156,405.8397,406.8135,121904279
2024-03-15,408.6535,410.803,404.6581,406.7977,59127945
2024-03-18,412.9497,415.3165,409.6616,412.0231,88586591
2024-03-19,412.9463,413.5212,411.7203,412.2942,85610567
2024-03-20,413.5956,421.0023,405.1351,412.5226,92180089
2024-03-21,414.8996,421.0363,408.4672,414.5995,60834873
2024-03-22,412.2379,415.7306,409.8141,413.3006,93720229
2024-03-25,411.1642,412.7827,410.534,412.1511,54050377
