date,open,high,low,close,volume
2024-01-02,93.5806,94.4457,92.9126,93.7763,22251353
2024-01-03,92.076,92.8232,91.752,92.4977,26301235
2024-01-04,93.472,93.7904,93.2169,93.5352,17751866
2024-01-05,92.6651,93.6923,91.9124,92.9374,37406508
2024-01-08,92.4706,93.194,92.2582,92.9805,40530519
2024-01-09,91.8894,92.7538,91.6198,92.4825,22207570
2024-01-10,90.8188,91.7529,90.3744,91.3061,54995775
2024-01-11,91.9223,92.2537,91.5016,91.8327,22611632
2024-01-12,93.2609,93.4917,92.4575,92.687,40720729
2024-01-15,94.2204,94.3825,93.5458,93.707,33435818
2024-01-16,94.1942,95.2327,93.1055,94.1434,37655597
2024-01-17,94.7174,96.2817,92.888,94.4479,20802834
2024-01-18,94.5375,94.6786,94.0479,94.1886,47052525
2024-01-19,94.4873,95.7348,93.008,94.2525,22077960
2024-01-22,94.0978,94.3701,93.7954,94.0676,27877179
2024-01-23,94.2519,94.4665,93.7074,93.9212,29070909
2024-01-24,94.7772,95.2082,94.5874,95.0179,27917918
2024-01-25,95.7984,97.8282,94.384,96.4049,23147039
2024-01-26,95.6885,97.084,94.966,96.3564,40148021
2024-01-29,98.8355,99.7098,98.2914,99.1639,24269506
2024-01-30,100.2795,101.0834,99.2328,100.0347,30902119
2024-01-31,99.8891,100.419,99.404,99.9337,34776371
2024-02-01,99.7604,100.5016,99.6911,100.4318,26905165
2024-02-02,100.1454,100.6635,99.9108,100.4282,39448800
2024-02-05,100.0173,100.8034,98.6057,99.3868,26400319
2024-02-06,99.3675,99.4003,98.8927,98.9253,27566390
2024-02-07,98.1069,98.9194,97.4802,98.2916,33257773
2024-02-08,97.7488,100.4271,95.281,97.9541,33184724
2024-02-09,97.165,97.2331,97.1204,97.1885,36342549
2024-02-12,98.4251,99.2355,97.4065,98.2152,29499286
2024-02-13,98.4062,98.7292,97.7028,98.0245,41801069
2024-02-14,97.8681,98.5706,96.9545,97.6554,26806145
2024-02-15,97.2833,97.7332,97.1837,97.6332,17525736
2024-02-16,99.0747,100.3405,97.3068,98.566,39985331
2024-02-19,98.734,99.6686,97.5734,98.5059,18566108
2024-02-20,99.3806,100.6856,97.5859,98.8844,42386213
2024-02-21,98.9917,100.0811,97.5121,98.5971,22491882
2024-02-22,98.9308,100.7606,96.9254,98.7519,50710980
2024-02-23,99.3047,101.0817,97.3593,99.1332,19156138
2024-02-26,99.773,101.1363,98.3111,99.673,27518749
2024-02-27,101.7665,102.7744,100.3149,101.3184,20720569
2024-02-28,102.1326,102.6743,101.141,101.6803,30066386
2024-02-29,103.1338,103.5224,103.0238,103.4121,17859079
2024-03-01,104.0153,104.6575,103.0854,103.7258,34131941
2024-03-04,104.4873,104.6173,104.3126,104.4425,33418348
2024-03-05,105.7991,105.9186,105.657,105.7765,41038864
2024-03-06,104.9284,107.2769,102.8566,105.1997,18324682
2024-03-07,104.4433,107.1224,102.263,104.9319,19513484
2024-03-08,104.7678,106.3061,103.6409,105.1749,34653210
2024-03-11,102.8981,103.9989,102.8467,103.947,28887584
2024-03-12,103.6338,104.2256,103.0959,103.6874,28063588
2024-03-13,102.4496,103.9801,101.4961,103.0213,25005303
2024-03-14,104.0131,104.8035,102.8219,103.6093,25098396
2024-03-15,103.5443,103.6486,103.2091,103.3132,39813121
2024-03-18,104.7156,105.832,104.1605,105.2739,46683538
2024-03-19,105.4267,105.5237,105.1621,105.259,30819328
2024-03-20,103.3701,104.4208,103.0032,104.0514,41658236
2024-03-21,103.2378,104.1171,102.3436,103.2228,22576478
2024-03-22,104.0928,104.2813,102.8579,103.0445,49401074
2024-03-25,102.7133,103.0649,102.3351,102.6867,26510785
2024-03-26,101.4392,105.1211,99.1423,102.7935,99641399
2024-03-27,97.5164,100.2057,97.0945,99.774,76820395
2024-03-28,105.1232,109.2885,99.4533,103.5565,105438340
2024-03-29,102.9509,103.8183,101.8396,102.705,53593486
2024-04-01,101.4036,105.2161,98.5005,102.2878,72684613
