date,vix
2024-01-02,14.99
2024-01-03,15.73
2024-01-04,13.25
2024-01-05,14.8
2024-01-08,14.84
2024-01-09,12.79
2024-01-10,15.4
2024-01-11,16.69
2024-01-12,12.98
2024-01-15,13.24
2024-01-16,13.79
2024-01-17,13.88
2024-01-18,14.5
2024-01-19,13.26
2024-01-22,14.22
2024-01-23,12.25
2024-01-24,16.37
2024-01-25,15.35
2024-01-26,13.48
2024-01-29,13.77
2024-01-30,15.13
2024-01-31,14.37
2024-02-01,14.91
2024-02-02,14.63
2024-02-05,14.34
2024-02-06,14.74
2024-02-07,13.56
2024-02-08,12.61
2024-02-09,14.41
2024-02-12,15.43
2024-02-13,15.64
2024-02-14,13.6
2024-02-15,13.72
2024-02-16,14.12
2024-02-19,13.52
2024-02-20,12.94
2024-02-21,15.47
2024-02-22,13.28
2024-02-23,13.59
2024-02-26,13.94
2024-02-27,13.77
2024-02-28,13.76
2024-02-29,12.13
2024-03-01,14.54
2024-03-04,13.16
2024-03-05,12.73
2024-03-06,11.69
2024-03-07,15.7
2024-03-08,13.24
2024-03-11,14.6
2024-03-12,15.29
2024-03-13,12.05
2024-03-14,14.21
2024-03-15,12.96
2024-03-18,14.54
2024-03-19,12.43
2024-03-20,14.9
2024-03-21,11.78
2024-03-22,13.83
2024-03-25,12.42
2024-03-26,38.92
2024-03-27,36.3
2024-03-28,35.5
2024-03-29,38.87
2024-04-01,37.11
2024-04-02,31.36
2024-04-03,30.12
2024-04-04,35.72
2024-04-05,32.65
2024-04-08,31.21
2024-04-09,35.24
2024-04-10,33.77
2024-04-11,34.79
2024-04-12,36.02
2024-04-15,38.99
2024-04-16,34.37
2024-04-17,34.54
2024-04-18,31.76
2024-04-19,30.66
2024-04-22,37.79
2024-04-23,13.82
2024-04-24,14.77
2024-04-25,13.48
2024-04-26,15.53
2024-04-29,14.36
2024-04-30,13.61
2024-05-01,14.26
2024-05-02,19.19
2024-05-03,14.53
2024-05-06,13.23
2024-05-07,15.81
2024-05-08,16.47
2024-05-09,12.85
2024-05-10,14.89
2024-05-13,13.07
2024-05-14,12.9
2024-05-15,13.74
2024-05-16,11.27
2024-05-17,12.81
2024-05-20,13.49
2024-05-21,14.3
2024-05-22,13.7
2024-05-23,12.06
2024-05-24,15.94
2024-05-27,14.7
2024-05-28,14.1
2024-05-29,13.31
2024-05-30,14.62
2024-05-31,13.93
2024-06-03,13.91
2024-06-04,16.25
2024-06-05,17.32
2024-06-06,13.66
2024-06-07,12.75
2024-06-10,12.97
2024-06-11,14.81
2024-06-12,15.13
2024-06-13,12.94
2024-06-14,13.56
2024-06-17,13.22
2024-06-18,13.05
2024-06-19,14.72
2024-06-20,15.39
2024-06-21,14.58
2024-06-24,12.61
2024-06-25,16.12
2024-06-26,13.33
2024-06-27,14.45
2024-06-28,12.77
2024-07-01,14.41
2024-07-02,13.37
2024-07-03,14.42
2024-07-04,15.05
2024-07-05,13.57
2024-07-08,13.79
2024-07-09,15.43
2024-07-10,16.02
2024-07-11,15.91
2024-07-12,13.38
2024-07-15,14.67
2024-07-16,12.88
2024-07-17,15.18
2024-07-18,14.97
2024-07-19,15.88
2024-07-22,12.41
2024-07-23,13.74
2024-07-24,14.91
2024-07-25,13.14
2024-07-26,13.31
2024-07-29,13.82
2024-07-30,13.65
2024-07-31,14.79
2024-08-01,15.87
2024-08-02,11.81
2024-08-05,13.94
2024-08-06,12.15
2024-08-07,13.18
2024-08-08,14.81
2024-08-09,12.79
2024-08-12,15.43
2024-08-13,14.82
2024-08-14,13.58
2024-08-15,15.21
2024-08-16,15.01
2024-08-19,14.57
2024-08-20,12.46
2024-08-21,15.26
2024-08-22,14.42
2024-08-23,12.78
2024-08-26,14.51
2024-08-27,13.65
2024-08-28,15.52
2024-08-29,14.05
2024-08-30,11.1
2024-09-02,13.38
2024-09-03,14.21
2024-09-04,13.73
2024-09-05,15.04
2024-09-06,15.99
2024-09-09,14.71
2024-09-10,14.09
2024-09-11,12.1
2024-09-12,14.32
2024-09-13,16.0
2024-09-16,12.44
2024-09-17,13.8
2024-09-18,12.17
2024-09-19,12.69
2024-09-20,14.45
2024-09-23,13.33
2024-09-24,13.94
2024-09-25,15.82
2024-09-26,13.33
2024-09-27,13.66
2024-09-30,13.1
2024-10-01,16.53
2024-10-02,15.31
2024-10-03,15.45
2024-10-04,14.31
2024-10-07,14.73
2024-10-08,15.69
2024-10-09,14.08
2024-10-10,12.74
2024-10-11,13.23
2024-10-14,14.01
2024-10-15,14.14
2024-10-16,12.91
2024-10-17,16.15
2024-10-18,14.5
2024-10-21,11.54
2024-10-22,14.91
2024-10-23,14.14
2024-10-24,13.95
2024-10-25,14.35
2024-10-28,12.7
2024-10-29,12.97
2024-10-30,12.51
2024-10-31,13.82
2024-11-01,16.11
2024-11-04,16.12
2024-11-05,13.9
2024-11-06,12.64
2024-11-07,13.78
2024-11-08,13.38
2024-11-11,12.46
2024-11-12,14.02
2024-11-13,13.68
2024-11-14,15.06
2024-11-15,13.98
2024-11-18,14.63
2024-11-19,15.96
2024-11-20,14.34
2024-11-21,13.97
2024-11-22,13.72
2024-11-25,15.54
2024-11-26,13.86
2024-11-27,14.36
2024-11-28,12.99
2024-11-29,15.83
2024-12-02,15.14
2024-12-03,13.23
2024-12-04,15.2
2024-12-05,12.1
2024-12-06,14.0
2024-12-09,12.8
2024-12-10,13.87
2024-12-11,14.51
2024-12-12,15.07
2024-12-13,12.74
2024-12-16,15.37
2024-12-17,14.37
2024-12-18,13.07
2024-12-19,14.48
2024-12-20,13.28
2024-12-23,14.22
2024-12-24,15.5
2024-12-25,13.23
2024-12-26,13.3
2024-12-27,14.95
2024-12-30,14.57
